"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Egypt, Arab Rep.","EGY","Labor tax and contributions (% of commercial profits)","IC.TAX.LABR.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.4","25.4","25.4","25.6","25.6","25.8","27.1","25.8","23.4","23.9","24.1","24.4","27.3","28.8","25.5","",
"Euro area","EMU","Labor tax and contributions (% of commercial profits)","IC.TAX.LABR.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.6375","31.3823529411765","31.2470588235294","30.05","29.9666666666667","29.6111111111111","28.7421052631579","28.8157894736842","28.7789473684211","28.7947368421053","28.8947368421053","28.7684210526316","27.4947368421053","27.9473684210526","28.2736842105263","",
"Eritrea","ERI","Labor tax and contributions (% of commercial profits)","IC.TAX.LABR.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",
"Spain","ESP","Labor tax and contributions (% of commercial profits)","IC.TAX.LABR.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.3","36.4","36.5","36.2","34.2","33.7","35.5","35.5","35.2","35.4","35.6","35.6","35.6","35.7","35.8","",
"Estonia","EST","Labor tax and contributions (% of commercial profits)","IC.TAX.LABR.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.6","38.5","38.3","38.3","38.3","39.2","39.4","39.4","39.4","39","39","38.8","38.8","38.8","38","",
"Ethiopia","ETH","Labor tax and contributions (% of commercial profits)","IC.TAX.LABR.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","3.9","8.5","9.6","11.3","12.4","12.4","12.4","12.4","",
"European Union","EUU","Labor tax and contributions (% of commercial profits)","IC.TAX.LABR.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.6625","30.764","30.268","29.4692307692308","29.1730769230769","28.5884615384615","27.8592592592593","27.9518518518519","27.8481481481481","27.8407407407407","27.9222222222222","27.7111111111111","26.8444444444444","27","26.3333333333333","",
"Fragile and conflict affected situations","FCS","Labor tax and contributions (% of commercial profits)","IC.TAX.LABR.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.6806451612903","12.346875","12.35625","12.35625","12.1757575757576","12.3606060606061","12.7909090909091","12.5694444444444","12.4621621621622","12.6540540540541","12.7324324324324","12.8054054054054","12.8054054054054","12.8513513513514","13.2513513513514","",
"Finland","FIN","Labor tax and contributions (% of commercial profits)","IC.TAX.LABR.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.4","29.6","29.7","29.7","29.6","23.9","24.2","24.4","24.5","24.2","24.8","25.1","25.4","23.9","23","",
"Fiji","FJI","Labor tax and contributions (% of commercial profits)","IC.TAX.LABR.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.4","10.4","10.4","12.7","12.7","12.6","12.4","",
"France","FRA","Labor tax and contributions (% of commercial profits)","IC.TAX.LABR.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51.8","51.8","52.1","51.3","51.7","51.7","51.7","51.7","51.7","54","53.5","53.5","51.1","49.7","50","",
"Faroe Islands","FRO","Labor tax and contributions (% of commercial profits)","IC.TAX.LABR.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","Labor tax and contributions (% of commercial profits)","IC.TAX.LABR.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.8","6.8","6.8","6.8","6.8","6.8","7","7.9","7.9","8.5","8.5","8.5","8.5","8.5","8.5","",
"Gabon","GAB","Labor tax and contributions (% of commercial profits)","IC.TAX.LABR.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.9","24.9","24.9","24.9","24.9","24.9","24.9","24.9","24.9","24.9","24.9","24.9","24.9","25.5","25.5","",
"United Kingdom","GBR","Labor tax and contributions (% of commercial profits)","IC.TAX.LABR.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.4","11.3","11.3","11.2","11","10.8","11","10.9","11.4","11.3","11.2","10.9","10.9","10.8","12","",
"Georgia","GEO","Labor tax and contributions (% of commercial profits)","IC.TAX.LABR.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35","22.6","22.6","22.6","0","0","0","0","0","0","0","0","0","0","0","",
