"country","temps","index","VA","Emploi","W","Productivite","LAB","chomage","pop","export","VA_pop","Part_lab","var","value","rate2010 in NAT/US$","Invest_pop","Emploi_scale"
"394","FIN",2013,10,175002,2519.6,26.8156636214453,99.3615820417963,119571.787201524,8.19299983978271,5438972,17195.0765854309,0.0078426002050753,0.683259546756744,"Iq_GFCF",39718.39453125,0.754309,0.0073025554334992,-0.396952005358368
"395","FRA",2013,11,1899841,27190,31.1969839893445,103.051724172992,1322453.49500608,9.92099952697754,65998687,12633.1057211123,0.000578225679395172,0.696086406707764,"Iq_GFCF",447586.71875,0.754309,0.00678175186651819,0.433617188975129
"396","IRL",2013,12,165009.4,1885.83,27.0439845941987,106.453755864923,89274.1193002224,13.7349996566772,4623816,55273.9528041415,0.0102319476319214,0.541024446487427,"Iq_GFCF",32887.94921875,0.754309,0.00711272879776142,-0.418288904569274
"397","ITA",2013,13,1444106.1,24322.8,21.7246881150294,101.725520603344,940561.384998179,12.1490001678467,60233948,11586.4964055906,0.000527675771266299,0.651310443878174,"Iq_GFCF",265831.84375,0.754309,0.00441332259592215,0.337088231439256
"398","LTU",2013,14,31690.1,1291.89,5.95974656024541,112.543352304176,15638.512616539,11.7700004577637,2957689,22533.7922399774,0.00479910485992817,0.49348258972168,"Iq_GFCF",6040.455078125,0.754846,0.00204228878632101,-0.438284861962849
"399","LUX",2013,15,41527.4,386.07,37.8717799038739,98.4753959982555,24098.0223891974,5.84800004959106,543360,203810.456171676,0.186470494761745,0.580292105674744,"Iq_GFCF",8640.5615234375,0.754309,0.0159020934986703,-0.468780767485709
"400","LVA",2013,16,20072.6,888.63,5.55564930783812,106.597217693085,10708.4369000673,11.8669996261597,2012647,14920.098301206,0.00656504442030047,0.533485293388367,"Iq_GFCF",4637.03369140625,0.754798,0.00230394783159007,-0.451861266614047
"401","NLD",2013,17,595709,8733,32.1772589071399,102.217334891601,406964.209539711,7.24300003051758,16804432,41444.4876594814,0.00279664406774537,0.683159410953522,"Iq_GFCF",121771.0859375,0.754309,0.00724636726415389,-0.187767775184891
"402","PRT",2013,18,149768.4,4450.17,11.0796294378411,105.629264818888,91340.3903057098,16.1830005645752,10457295,11913.839439518,0.00181565019827269,0.609877586364746,"Iq_GFCF",25580.951171875,0.754309,0.0024462302318023,-0.331956222172671
"403","ROU",2013,19,560520.5,8569.4,16.4301896747202,118.833678812182,280083.462967768,7.09600019454956,19983693,8902.01649619836,0.000441671905889593,0.499684602022171,"Iq_GFCF",142336.890625,3.1779,0.00712265198554642,-0.193275635624647
"404","SWE",2013,20,3337466,4672,247.298271141769,101.953638709373,1921221.17701972,8.05200004577637,9600379,20923.24788427,0.00502405050206877,0.575652658939362,"Iq_GFCF",834846.75,7.207524,0.0869597700257459,-0.324487953949254
